time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,xdes_x,xdes_y,xdes_z,roll,pitch,yaw
26.528,1.185990531101925,2.2490293326127353,3.3989768147738983,-0.02518931427945102,-0.00733388635246053,-0.05402166525874683,1.1040118,2.3089514,3.3603218,4.386752507912206e-07,-6.431240174986641e-05,-0.0005775365578042368
26.539,1.1857638086546218,2.248963587920347,3.3984911562011373,-0.025193050522050453,-0.007280833048685567,-0.053913069730063296,1.10284,2.3098562,3.3609629,4.3959328888121263e-07,-6.387861344459012e-05,-0.0006707017928082593
26.548000000000002,1.1855118555815745,2.2488911404383387,3.3979527014617417,-0.025197103680350413,-0.007213938076962645,-0.05379087078110537,1.1016229,2.3103738,3.3614244,4.410282912203911e-07,-5.872865068301536e-05,-0.0007533821366614291
26.559,1.1852346640379094,2.248812281761122,3.397361923049063,-0.025200844980730053,-0.007129644544990876,-0.05362997075174908,1.1010573,2.3098145,3.3623266,4.4357439588083025e-07,-4.8043371251083045e-05,-0.0008749424419907115
26.567,1.1849826415956457,2.248741461558376,3.3968266462642176,-0.02520545970829249,-0.006989466809872867,-0.053443488729733854,1.1019574,2.3107796,3.361427,4.460661608973737e-07,-4.05839205797065e-05,-0.0009814019295051324
26.578,1.1847558047676947,2.2486785381776815,3.3963467568080556,-0.02520469344639417,-0.006950019709836882,-0.05322515826316939,1.1003526,2.3096411,3.3599677,4.50121030226569e-07,-3.465999666918407e-05,-0.0011446703209214704
26.588,1.1845037510242358,2.248609659847974,3.3958158148290054,-0.025205894452984882,-0.006834662042225014,-0.052984094969295084,1.0993626,2.309455,3.358876,4.535695792284855e-07,-3.3355971813975316e-05,-0.0013012697378886884
26.597,1.1842264788066932,2.248535329499771,3.395234755282947,-0.02520715172326266,-0.006690078231382043,-0.05268854178389929,1.0995576,2.3089418,3.3591526,4.560260897790158e-07,-3.5866357603886456e-05,-0.0014360939657347416
26.607,1.1839996078802004,2.2484757663661914,3.394761724847127,-0.02520854943020963,-0.006558986850360774,-0.052456182492344225,1.0975475,2.3065648,3.3581364,4.5759239419851383e-07,-4.434080916615457e-05,-0.0015642190810547518
26.617,1.1837475096920427,2.248411030217814,3.394238541973015,-0.025211043751849654,-0.006402241935389727,-0.052202222345204725,1.0983981,2.3051414,3.3596914,4.581542594195298e-07,-5.833163507240613e-05,-0.0016567328324157415
26.627,1.1834953786638431,2.248347908916191,3.393718038369045,-0.025215062099502385,-0.006237599241517172,-0.05192247690020992,1.098096,2.3043368,3.3592088,4.598076586148636e-07,-7.848316975778147e-05,-0.0016953071611816029
26.638,1.1832179743581364,2.248280397020719,3.393148864342107,-0.025221929603867713,-0.006054288534039475,-0.05159615039774355,1.0984699,2.3029652,3.3568683,4.680768750375819e-07,-0.00010548118502162751,-0.001656745712784513
26.648,1.1829909393887734,2.248226640425147,3.3926857948968343,-0.025229751562555334,-0.005908951772250703,-0.05133824248615282,1.0987824,2.3012798,3.3584356,4.870400829304344e-07,-0.00013081577404605582,-0.0015463307640342094
26.659,1.182713341219152,2.2481626435092767,3.392122809795524,-0.025241996265092822,-0.005744837797474088,-0.0510493598752766,1.0969586,2.3005571,3.3557577,5.234866096159863e-07,-0.00015521626282311018,-0.0013516272742322144
